source;target;label;label_reverse;strength;category;;
Cement_Corporations;Geography;vary by;is varied by;2;Geopolitical;;
Geography;Portland_Cement;extracts;is extracted by;2;Technical;;
Carbon;climate_challenge;increases;are increased by;2;Ecological;;
Labour;climate_challenge;is affected by;affects;2;Ecological;;
Gas_Crisis;Mass_Production;challenges;is challenged by;2;Geopolitical;;
Central_Node;PC;is founded on;is foundational to;3;Core Structure;;
Central_Node;Finishing;is expressed through;expresses;3;Core Structure;;
Central_Node;carbon_footprint;generates;is generated by;3;Core Structure;;
Central_Node;Industrialisation;was scaled by;scaled;3;Core Structure;;
Central_Node;Hydration;hardens via;hardens;3;Core Structure;;
Step_8_Making_concrete;Construction_cement;produces;is produced by;3;Transformation;;
Construction_cement;Applications;is used in;uses;2;Technical;;
Applications;Formability;depends on;supports;2;Technical;;
Formability;Form;enables;is enabled by;2;Technical;;
Capillary_Porosity;Efflorescence;allows;is allowed by;2;Transformation;;
urban_environment;Architectural_Environment;shapes;is shaped by;2;Sensory;;
Raw_materials;Color;determines;is determined by;2;Sensory;;
Step_5_Calcination_&_clinker;Energy;consumes;is consumed by;3;Technical;;
Gas_Crisis;Energy;disrupts supply of;supply is disrupted by;2;Geopolitical;;
Decline_of_cementious_knowledge;From_Hydraulic_Lime_to_Portland_Cement;precedes;follows;1;Historical Context;;
Proto-portland_ara;PC;leads to;develops from;2;Historical Context;;
Oil_Cements;From_Hydraulic_Lime_to_Portland_Cement;influences search for;search influenced by;1;Historical Context;;
Mass_Production;Cement_industry_production;drives;is driven by;3;Industrial development;;
Cement_standarisation;Specialisation_of_portland_cements;enables;is enabled by;2;Cement development;;
Step_5_Calcination_&_clinker;Calcination_Reaction;Relates;is related to;3;Technical;;
C2S_Reaction;Belite;produces;is produced by;2;Scientific;;
C3S_Reaction;Alite;produces;is produced by;2;Scientific;;
C3A_Reaction;Step_5_Calcination_&_clinker;occurs during;is a phase of;2;Scientific;;
C4AF_Reaction;Step_5_Calcination_&_clinker;occurs during;is a phase of;2;Scientific;;
Kiln_Reactions_Phase;Step_5_Calcination_&_clinker;details;is detailed by;2;Technical;;
Industrialisation_and_the_Development_of_Portland_Cement;Industrialisation;describes;is described by;2;Historical Context;;
Cement_standarisation;Standardisation,_Scale_and_Changing_Properties;leads to;is led by;2;Historical Context;;
