id;title;domain1;domain2;domain3;Section;meta;desc;img;year;;;
Portland_Cement;Invention of Portland Cement;Geopolitical and Economic;Historical;;Origins of Cement;Cement Chemist Notation: C = CaO, S = SiO₂, A = Al₂O₃, F = Fe₂O₃, H = H₂O, S̅ = SO₃;"Portland cement emerged during the British Industrial Revolution, when rapidly expanding cities, factories, ports, canals, and railways created demand for a hydraulic binder that was stronger and more predictable than traditional lime mortars. 

In 1824, Joseph Aspdin, a bricklayer from Leeds, patented a material he called Portland cement. The name referred to the prestigious Portland stone quarried on the Isle of Portland in England, which the hardened material was said to resemble. Aspdin’s original product was somewhat different from modern Portland cement; the higher-temperature production processes associated with contemporary cement developed during the following decades. 

Portland cement also benefited from economic pressures affecting competing materials. Concerns over shortages of raw materials used for Roman cement, together with the introduction of protective taxes, weakened the position of existing producers. Aspdin himself argued to the British government that such measures would become unnecessary because Portland cement would eventually make competing cements obsolete. Its lower price per unit of strength, increasing availability, and the consequences of a widely publicized construction failure at London’s Euston in 1848 further undermined Roman cement’s dominance. 

The invention therefore needs to be understood not only technologically, but economically and geographically. Britain already possessed: 

large coal supplies, 

mechanized manufacturing, 

rapidly expanding railway and canal networks, 

concentrated urban markets, 

major public and private infrastructure investment. 

Portland cement emerged within an existing network of energy + extraction + transportation + capital. 

Countries without such developed networks faced similar pressures as they industrialized. Industrialization demanded, in the minimum possible time and at relatively low cost, the construction of large industrial buildings with open spaces for mass-production lines; multi-storey and fire-resistant buildings capable of holding machinery, goods, and workers; harbours, docks, jetties, and quays for the circulation of raw materials and manufactured products; railway and highway bridges; and healthier housing for rapidly growing rural and industrial populations. 

Cement increasingly became the material through which these new industrial territories could be constructed.";;1824;;;
Imperial_Power ;Cement Infrastructure and Imperial Power;Geopolitical and Economic;;;Industrialisation and Global Expansion;;;Imperial_Power.png;1850;;;
Mass_Production;Mass Production;Geopolitical and Economic;;Historical;Industrialisation and Global Expansion;;;;1890;;;
WW2;Cement and the Developmental State;Geopolitical and Economic;;Historical;Labor, Power and Geopolitics;;"After the Second World War, cement consumption increased dramatically. 

World cement production grew from roughly 50 million tonnes in 1945 to more than 2.1 billion tonnes by 2004, with particularly rapid expansion between 1945 and 1973. 

The immediate driver was post-war reconstruction. European cities required enormous quantities of material for: 

housing + schools + roads + bridges + factories + power stations 

However, cement soon became associated with something much larger than reconstruction. It became fundamental to the political project of the developmental state. 

Large social-housing programmes and national infrastructure systems required inexpensive materials that could be standardized and reproduced at enormous scales. Concrete suited this political economy extremely well. 

Although the capitalist West and socialist bloc differed radically in their political and economic organization, both relied heavily on concrete. Soviet industrialization similarly placed extraordinary emphasis on heavy industry, prefabrication, infrastructure, and construction as instruments of economic transformation. 

Portland cement therefore became a material shared by very different ideological systems: 

Capitalism built in concrete. 

Socialism built in concrete. 

Postcolonial developmentalism built in concrete. 

Their architectural languages and political systems differed, but the underlying material system was remarkably similar. 

Concrete became associated with the construction of modern states themselves: housing populations, connecting territories, producing electricity, building industries, regulating water, and creating transportation networks.";;1945;;;
Cement_Corporations;Privatization and Multinational Cement Corporations;Geopolitical and Economic;;;Labor, Power and Geopolitics;;"From the late twentieth century onward, another transformation took place. 

Cement industries that had previously operated primarily as national or state-owned enterprises were increasingly privatized, acquired, and consolidated into multinational corporations. 

These corporations developed transnational networks of: 

quarries → clinker plants → grinding facilities → distribution terminals 

The scale of consolidation was considerable. According to OECD data, the five largest cement companies controlled only about 9% of the world cement market outside China in 1988, but by 2003 their share had risen to approximately 42%. 

Studies of African markets similarly describe the multinational acquisition of formerly publicly owned cement companies and the development of significant oligopolistic tendencies within regional markets. 

The political economy therefore shifted from: 

national cement industry 

toward: 

transnational ownership of local production systems 

At the same time, the geographical centre of cement production progressively shifted: 

19th century — Britain / Western Europe 

20th century — Europe + USA + USSR + Japan 

21st century — China + India + wider Asia and the Global South 

The geography of cement increasingly became a map of where the world’s largest processes of urbanization and infrastructure construction were taking place.";;1980;;;
Geography;The Geological and Geographical Basis of Cement;Geopolitical and Economic;;;Origins of Cement;;"Despite the globalization of cement corporations, most of the material itself remains strongly connected to local geology. 

Concrete is produced from enormous volumes of relatively inexpensive mineral materials. Transporting these materials over very long distances is often economically inefficient. Cement production therefore develops through a combination of globally standardized technology and locally extracted geology. 

Limestone 

Limestone is the most important raw material for Portland cement. 

It supplies the calcium required to manufacture clinker and is geologically widespread across Europe, China, India, North America, the Middle East, Southeast Asia, North Africa, and many other regions. 

Its widespread availability is one of the reasons cement can be manufactured in so many countries. 

However, limestone is a high-volume, low-value material. Manufacturers therefore generally locate cement kilns next to or very close to limestone quarries, rather than transporting enormous quantities of stone internationally. 

The typical geography is therefore: 

limestone deposit → quarry → crusher → cement works 

rather than: 

limestone-producing country → international export → cement-producing country 

Large cement industries consequently develop where appropriate geological deposits overlap with major construction markets, infrastructure, energy networks, and urbanization. 

Today these conditions are particularly visible in China and India, as well as Vietnam, Türkiye, the United States, Brazil, Egypt, Indonesia, Iran, and many other countries. 

In 2025, cement production was approximately: 

China — 1.7 billion tonnes 

India — 470 million tonnes 

Vietnam — 100 million tonnes 

Türkiye — 89 million tonnes 

The geography of cement production can therefore be understood through the interaction of: 

limestone availability + population + urbanization + infrastructure investment 

Clay and Shale 

Clay and shale provide additional minerals required for clinker production. 

Because they are also relatively inexpensive bulk materials, they are normally sourced close to the cement plant together with limestone. 

A typical spatial arrangement is: 

limestone quarry 

↓ 

a few kilometres by conveyor/truck 

↓ 

cement plant 

↑ 

nearby clay/shale quarry 

The cement plant therefore becomes the centre of a relatively localized mineral extraction system. 

Gypsum 

Gypsum has a slightly different geography. 

Unlike limestone and clay, gypsum is added after the kiln, usually in relatively small quantities when clinker is ground into cement. Its primary purpose is to control how quickly the cement sets. 

Because substantially less gypsum is required than limestone, transporting it over longer distances can make greater economic sense. 

Gypsum deposits are widespread but unevenly distributed. In 2025, major producers included: 

United States — ~20 Mt 

Iran — ~16 Mt 

Oman — ~14 Mt 

China — ~12 Mt 

Spain — ~11 Mt 

Türkiye — ~10 Mt 

Thailand — ~8.7 Mt 

Unlike limestone, gypsum therefore participates more visibly in international mineral trade. 

One important example is the route: 

Oman → India 

Oman exported approximately 12.4 million tonnes of gypsum in 2024, with India as its primary destination. 

[Image: International gypsum trade / Oman–India route] 

Sand 

The geography of concrete expands even further when sand and aggregates are considered. 

Globally, sand is extracted from: 

riverbeds, 

floodplains and terrestrial pits, 

quarries producing manufactured sand, 

lakes, 

marine and offshore deposits. 

Sand and gravel consumption is enormous, reaching approximately 50 billion tonnes per year globally. 

Marine extraction creates particularly visible geographical hotspots. Major dredging activities occur around the North Sea, Southeast Asia, and the east coast of the United States, with approximately 6 billion tonnes of marine sand and other sediment dredged annually. 

Unlike cement, which can travel considerable distances through international shipping networks, sand and aggregate are usually connected much more closely to regional construction markets. 

Aggregates 

Aggregate production consequently forms thousands of comparatively small extraction territories around expanding cities. 

A simplified geography is: 

urban centre 

↓ 

20–100 km regional supply zone 

↓ 

sand/gravel pit or crushed-rock quarry 

The precise radius varies significantly according to geology, transportation infrastructure, shipping access, road conditions, land prices, and local regulations. 

However, the economic principle remains important: 

the closer the quarry is to the city, the cheaper the concrete tends to be. 

Concrete is therefore not geopolitically important because its raw materials are exceptionally rare. Its importance comes from the enormous scale at which they are consumed and from the fact that controlling cement and aggregate production means controlling one of the fundamental material systems of urbanization and infrastructure. ";;;;;
Carbon;The Contemporary Geopolitics of Cement: Carbon;Geopolitical and Economic;Ecological;;Environmental Impacts;;"Today Portland cement faces a different geopolitical problem. 

Its historical advantage—its ability to transform abundant limestone into an inexpensive, standardized, and extremely strong binder—also produces one of its greatest environmental problems. 

Cement manufacturing requires extremely high temperatures, traditionally generated largely through fossil fuels. 

More fundamentally, heating limestone chemically releases CO₂ through calcination. 

This means that even if the energy used to operate cement kilns were fully decarbonized, cement production would still produce substantial process emissions. 

For this reason, cement has become one of the particularly difficult industrial sectors to decarbonize. 

Current strategies include: 

material efficiency, 

alternative fuels, 

supplementary cementitious materials, 

alternative binders, 

industrial by-products, 

carbon capture, 

carbon taxation, 

emissions-trading systems, 

green public procurement. 

A new political economy of concrete is therefore emerging around carbon regulation and access to low-carbon technologies. 

The history of Portland cement can consequently be read as a transformation in which locally available geology was converted into globally reproducible architecture and infrastructure. What began as a nineteenth-century industrial technology has become one of the fundamental material systems through which cities, states, and economies are constructed.";;;;;
Labour;Cement Labour: The Human Geography of Concrete;Geopolitical and Economic;;;Labor, Power and Geopolitics;Labour Rights and Movements;"The global history of cement is also a history of labour. 

Behind cement plants, quarries, infrastructure projects, and concrete construction are large workforces involved in mineral extraction, processing, transportation, and construction. 

Quarry Labour 

Workers involved in limestone, stone, sand, and aggregate extraction face a number of significant occupational risks: 

silica/mineral dust → silicosis and other respiratory diseases 

blasting + falling rock → traumatic injury or death 

heavy machinery → crushing and collision accidents 

noise + vibration → hearing and musculoskeletal damage 

outdoor work → extreme heat and dehydration 

A particularly well-documented example is Rajasthan, India, where informal sandstone-quarry communities have experienced inadequate access to drinking water, shelter, and first aid alongside serious accident risks and widespread cases of silicosis. 

Workers frequently migrate to quarry areas together with their families, meaning that extraction sites can become not only workplaces but temporary or semi-permanent settlements. 

Construction Labour and Heat 

Concrete construction itself frequently occurs outdoors. 

Workers may operate: 

on exposed slabs 

on roofs 

inside partially completed concrete structures 

around heat-producing machinery 

often with very little shade. 

Climate change is intensifying these already difficult labour conditions. 

Occupational heat exposure can produce heat exhaustion, heatstroke, and death, while prolonged exposure may also contribute to cardiovascular and kidney problems. 

The environmental crisis connected to concrete therefore affects workers twice: first through the emissions generated by the material’s production, and again through increasingly severe climatic conditions on construction sites. 

Migrant Labour 

Concrete construction also depends heavily on migrant workers. 

This is particularly visible in: 

the Gulf States, 

China’s internal migrant labour system, 

Southeast Asian construction economies, 

European migrant construction labour, 

Latin American cities. 

The global concrete economy therefore consists not only of material flows but also of labour flows. 

Labour Organization and Unions 

At the international level, organizations including Building and Wood Workers’ International (BWI), IndustriALL, and the International Trade Union Confederation represent or coordinate workers connected to construction and building-material industries. 

However, unionization remains highly uneven. 

Workers may be employed directly by major cement or construction corporations, through subcontracting systems, informally in extraction industries, or as temporary migrant labour. Their access to labour protections, health care, collective bargaining, and workplace safety consequently varies significantly between countries and regions. 

This labour geography reveals another dimension of Portland cement’s global history. The apparent universality of concrete—its ability to produce similar buildings and infrastructure almost anywhere in the world—depends on highly unequal local conditions of extraction, labour, regulation, and environmental exposure. 

Portland cement therefore connects several geographical systems simultaneously: 

geology → extraction → energy → industry → transport → capital → labour → construction → urbanization 

Turkey's Labour Movements 

TOKİ, short for Toplu Konut İdaresi Başkanlığı (Housing Development Administration of Turkey), is a state institution responsible for developing large-scale housing projects, especially affordable and social housing. It also undertakes major public construction projects, including schools, hospitals, government buildings, and post-disaster reconstruction. After major earthquakes, TOKİ often plays a central role in rebuilding housing and public facilities through large construction tenders. 

 

At the TOKİ construction site currently underway in Ünye, Ordu, construction workers employed by a subcontractor launched a protest on-site in September 2026 over wages that had remained unpaid for nearly two months. 

Workers employed in the construction of Fire Brigade Centers in Hatay under a TOKİ tender for the earthquake-affected region protested in August 2026 against violations of their labor rights. ";Labour.jpg;;;;
Gas_Crisis;Russian Gas Crisis and Its Effects on Cement Production ;Geopolitical and Economic;;;Labor, Power and Geopolitics;;"Cement is the most energy-intensive component of concrete. Producing clinker requires kilns to operate at around 1,450°C, so cement plants depend heavily on fuels and electricity. After Russia reduced gas supplies to Europe following the invasion of Ukraine in 2022, natural-gas and electricity prices rose sharply across Europe. 

The impact was strongest in countries with energy-intensive cement industries or high exposure to Russian gas, including Germany, Italy, Poland, Austria, Hungary, Slovakia and the Czech Republic. Countries such as Spain and Turkey were also strongly affected by the wider European energy-price shock, even though their dependence on Russian pipeline gas differed. 

Short-term solutions by the EU: 

• All available sources of electricity generation should be used to boost power supplies. 

• Emergency measures, including energy price caps, should be implemented immediately to relieve energy markets and the reduce prices for both businesses and households. 

• The EU temporary state aid framework adopted in late March 2022 should allow all energy intensive industries to have access to state aid covering 70-80% of eligible costs. Under the existing framework, the cement sector is only eligible for state aid up to 50% of eligible costs, as it does not figure in Annex I of the Framework (which lists the sectors eligible for indirect compensation under the EU ETS Indirect compensation Guidelines). Under the current market conditions, there is no objective justification for such differentiated treatment. 

• Co-processing in cement kilns should be actively encouraged: the use of non-recyclable waste and biomass waste in cement kilns (‘co-processing’) is a readily available solution that reduces reliance on imported fossil fuels and helps decarbonise cement production. It should be supported by targeted measures at the EU level. At a national and local level, authorities should seek to redirect non-recyclable waste and biomass waste towards cement kilns as opposed to landfilling or incineration. ";;2022;;;
scale_problem;Scale Problem;Ecological;;;Industrialisation and Global Expansion;Massive Global Comsumption;Concrete has a relatively low embodied carbon intensity per kilogram compared with materials such as steel and glass. However, around 30 billion tonnes of concrete are consumed globally every year, making the industry responsible for over 7% of global anthropogenic CO₂ emissions. Its enormous scale also drives high consumption of natural resources and freshwater.;scale_problem.jpg;;;;
urban_environment;Urban Environment;Ecological;Sensory;;Concrete as an Architectural Material;Effects on Urban Climate;The extensive use of concrete changes the physical environment of cities. Impermeable concrete surfaces prevent rainwater from infiltrating the soil, increasing runoff and transporting pollutants into water systems. Concrete can also contribute to the urban heat island effect.;urban_environment.jpg;;;;
carbon_footprint;Carbon Footprint;Ecological;;;Environmental Impact;Emissions across Lifecycle;Concrete’s environmental impact occurs throughout its life cycle, from raw material extraction and transportation to cement production, concrete batching, construction, use and end-of-life. Cement production is the main CO₂ hotspot, while transportation is generally the second-largest contributor.;carbon_footprint.jpg;;;;
raw_material_extraction;Raw Material Extraction;Ecological;;;Environmental Impact;Extraction of Finite Resources;Concrete depends on large quantities of limestone, clay, sand and gravel, most of which are finite geological resources. Cement production requires approximately two tonnes of geological raw materials to produce one tonne of Portland cement. The extraction of these materials causes landscape alteration, dust, noise, water consumption and risks of groundwater contamination.;raw_material_extraction.jpg;;;;
water_consumption;Water Consumption;Ecological;;;Environmental Impact;High Freshwater Demand;Concrete production uses approximately 1 billion m³ of freshwater every year, making it the highest consumer of freshwater among industries according to the research. This creates particular pressure in dry and land-locked regions where freshwater is scarce. Treated greywater and reclaimed concrete wash water can replace freshwater without negatively affecting concrete strength.;;;;;
physical_pollution;Physical Pollution;Ecological;Sensory;;Environmental Impact;Air, Water and Soil Pollution;Concrete’s life cycle contributes to air, water and soil pollution. Quarrying generates dust and particulate matter, while cement kilns release pollutants such as NOₓ, SO₂ and heavy metals. Concrete wash water can have a pH of 11 to 12, while transportation and demolition also produce dust, noise and vibration.;;;;;
habitat_destruction;Habitat Destruction;Ecological;;;Environmental Impact;Destruction of Natural Habitats;Extracting limestone, clay, sand and gravel physically alters landscapes and natural habitats. Quarrying removes vegetation and topsoil, while river and marine dredging reshapes riverbeds and coastlines. Coastal sand mining can erode natural dunes, while marine dredging can damage mangroves, coral reefs and seagrass meadows.;;;;;
ecosystems_biodiversity;Ecosystems & Biodiversity;Ecological;;;Environmental Impact;Disrupted Ecosystems and Species;Concrete-related extraction and urbanisation can disrupt both terrestrial and aquatic ecosystems. River dredging increases water turbidity, reduces sunlight penetration and can damage fish spawning grounds. Limestone quarrying can destroy specialised karst ecosystems, while marine extraction can put pressure on sensitive coastal species and habitats.;;;;;
recovery;Recovery;Ecological;;;End-of-Life and Circularity;Recovering Valuable Components;Recovery aims to separate useful materials from demolished concrete instead of treating the entire material as waste. Technologies such as Advanced Dry Recovery and Heating Air Classification can separate clean aggregates, recycled sand and cement-paste fractions. Mobile processing units can also reduce transport distances and associated emissions.;;;;;
reuse;Reuse;Ecological;;;End-of-Life and Circularity;Using Components Again;Concrete elements such as precast panels, structural blocks and load-bearing columns can potentially be salvaged and reused in new projects. Design for Disassembly and modular construction can make direct reuse easier by allowing elements to be dismantled instead of demolished.;reuse.jpg;;;;
recycling;Recycling;Ecological;;;End-of-Life and Circularity;Reprocessing Demolished Concrete;Demolished concrete is commonly crushed and used as recycled aggregate, but much of it is downcycled into lower-grade applications such as road bases and backfill. Up to 30% of natural aggregates can be substituted with recycled concrete aggregates without compromising the fresh and hardened properties of concrete.;recycle.jpg;;;;
waste_streams;Waste Streams;Ecological;Technical;;End-of-Life and Circularity;Waste as Material Resource;Waste is generated throughout the concrete lifecycle, from quarrying and cement production to concrete manufacturing, construction and demolition. These waste streams include overburden, dust, kiln and filter dust, returned concrete, wash water, concrete leftovers and, at the end of life, concrete rubble. However, waste does not always mean useless: industrial by-products such as GGBS, fly ash and silica fume, as well as recycled concrete aggregate (RCA), recycled steel and other waste materials, can be processed and used as secondary raw materials. These materials can partially replace Portland cement, clinker or natural aggregates, turning waste from one process into a resource for another.;;;;;
clinker_reduction;Clinker Reduction;Ecological;;;Future of Cement and Concrete;Reducing the Main CO₂ Source;Portland cement is the primary driver of concrete's climate impact, responsible for 80% to 90% of its total greenhouse gas emissions. Within this process, clinker production alone accounts for roughly 96% of a cement plant's CO₂ output. A key strategy to lower this carbon footprint is clinker reduction: replacing a portion of the clinker with alternative supplementary cementitious materials (SCMs) such as fly ash, slag, silica fume, or recycled cement paste.;;;;;
modernising_kilns;Modernising Kilns;Ecological;;;Future of Cement and Concrete;More Efficient Kiln Production;Cement production requires extremely high temperatures, making kiln efficiency important for reducing energy-related emissions. Modern dry kilns with preheaters and precalciners can reduce emissions compared with older wet kilns, while alternative fuels such as biomass and waste-derived fuels can reduce dependence on fossil fuels.;;;;;
climate_challenge;Climate Challenge;Ecological;;;Future of Cement and Concrete;Concrete under Climate Change;Climate change affects both the resources available for concrete and its future performance. Increasing drought and water stress can make freshwater harder to access, while the transition away from coal and blast-furnace steel can make traditional supplementary cementitious materials such as fly ash and slag scarcer. At the same time, climate-mitigation infrastructure such as wind, solar and hydropower can itself require large quantities of concrete.;;;;;
Raw_materials;Raw materials of Portland concrete;Technical;Sensory;;Production of Cement and Concrete;Mineral composite;"Portland-cement-based concrete is a composite material made from cement, water, sand and gravel/crushed stones. Cement acts as the binder, while sand and gravel make up most of the concrete. Water starts the hydration process, which allows the cement paste to harden and bind the aggregates together. Portland cement is mainly produced from limestone, clay and other mineral materials. Limestone provides calcium, while clay and other materials provide silica, aluminium and iron. These materials are processed and heated to form clinker, which is then ground with gypsum to produce cement. In short:
Limestone + clay + minerals → clinker → cement + water + sand + gravel → concrete";;;;;
Process;Transformation from rock to concrete;Technical;;;Production of Cement and Concrete;Process;"The material starts in the quarry, where geological materials are extracted. They are then drilled or broken, excavated and transported for crushing and grinding. After grinding, the material is preheated and calcined to produce clinker. The clinker is ground again to make cement.

The cement is then mixed with water and aggregates. The fresh concrete is formed into the desired shape and cured until it becomes hardened concrete.";Process.jpg;;;;
Step_1_Quarring;Step 1: Quarring;Technical;;;Production of Cement and Concrete;Extracting materials;"The first step is extracting geological materials such as limestone, clay, sand and rock. Heavy machinery is used to remove and transport the material, including excavators, drilling machines, bulldozers, wheel loaders, dump trucks and crushers.

Large pieces of rock are too big to use directly, so they are transported to crushing equipment. This process can produce dust, fine particles and oversized or unusable material. Some mineral fractions can potentially be returned to the process or used elsewhere.";Step_1_Quarring.jpg;;;;
Step_2_Crushing;Step 2: Crushing;Technical;;;Production of Cement and Concrete;Reducing size;The extracted limestone and other materials are reduced in size. Imagine taking a huge piece of limestone and turning it into something closer to gravel. For this they use machinery like, jaw crushers, impact crushers or hammer crushers. The post quarring process is breaking the rock into smaller pieces before further processing and laboratory analysis. ;Step_2_Crushing.jpg;;;;
Step_3_Grinding_&_mixing;Step 3: Grinding & mixing;Technical;;;Production of Cement and Concrete;Raw meal;After crushing, the materials are ground into a much finer powder, called raw meal. This is necessary because the materials need to react properly at high temperature duing the kiln process. The raw materials are carefully mixed. For this they use machinery like: raw mills, ball mills, vertical roller mills, conveyors and storage silos. The material is continuously monitored because the chemical composition need to be controlled;Step_3_Grinding_&_mixing.jpg;;;;
Step_4_Preheating;Step 4: Preheating;Technical;;;Production of Cement and Concrete;Chemical reactions;Before entering the kiln, the raw material passes through a preheater tower. Hot gases from the cement production process are used to heat the raw material. This is important because it means the factory can recover and reuse the heat instead of simply throwing it away. The preheater starts the chemical reactions and improves the efficiency of the subsequent kiln firing process. ;;;;;
Step_5_Calcination_&_clinker;Step 5: Calcination & clinker;Technical;;;Production of Cement and Concrete;Energy intensive;This is the most energy intesive part of the process. The material enters a large rotary kiln. Temepratures reach approximately 1450°C. At these temperatures, the minerals chemically react and form clinker. Clinker looks like small, hard, grey/black stones. This stage is important because you are no longer simply changing the shape of the material, you are changing its chemical composition. That is what makes cement production different from simply crushing stone. ;Step_5_Calcination_&_clinker.jpg;;;;
Step_6_Cooling_the_clinker;Step 6: Cooling the clinker;Technical;;;Production of Cement and Concrete;Intermediate product;The clinker leaves the kiln extremely hot. It is rapidly cooled. This is done using a clinker cooler. The inerstering part is that the hot air generated during cooling can be recovered and returned to the kiln. So instead of wasting all of that heat, it improves the efficiency of the process. ;;;;;
Step_7_Final_grinding;Step 7: Final grinding;Technical;;;Production of Cement and Concrete;Fine powder;The clinker is then ground into an extremely fine powder. Gypsum and sometimes other materials are added. This produces the final cement powder. The cement is then stored in large silos and transported to concrete batching plant or construction sites. ;Step_7_Final_grinding.jpg;;;;
